pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet,exp
pCM5,3,420065,6573,5.623316497438736,3.817763632280368,low
pCH5,1,1286899,4638,6.109544463404844,3.666330744301968,low
pCM4,1,294085,3852,5.468472873594584,3.585686278452497,low
pCM4,2,437052,6000,5.640533111957918,3.778151250383644,low
pCM4,3,238198,3230,5.376938110662248,3.509202522331103,low
pCH5,3,1144191,3684,6.058498527361034,3.566319621524811,low
pCL2,2,35321,4162,4.548032990724727,3.619302075875608,low
pCL2,3,34294,3470,4.535218143517183,3.5403294747908736,low
pCM3,1,744134,5019,5.871651148207819,3.700617195682057,low
pCM3,2,646164,3184,5.810342758328996,3.5029730590656314,low
pCM4,1,260001,3360,5.414975018330997,3.526339277389844,low
pCM4,2,264962,4034,5.423183593281438,3.6057358938767465,low
pCL2,1,59620,5438,4.775391971696612,3.735439203251482,low
pCL2,2,30632,4253,4.486175353339632,3.628695382714023,low
pCL2,3,29280,3928,4.466571072386354,3.594171479114912,low
pCM3,1,713462,4409,5.853370846925373,3.6443400988263215,low
pCM3,2,763865,4145,5.883016611277716,3.617524534886293,low
pCM3,3,799589,4155,5.9028668108685896,3.61857102812013,low
